"ExperimentName","Subject","Group","Block","Trial","STIM","TASK","Switch","Congruent","CVOE","Response","RT","block_type","letter","number","key2","response2","match2","score2","zRT"
"CVOE updated",1001,1,1,11,"A 71","","",FALSE,"CV","p",4811,"cv","A",1,"v","v",TRUE,1,1.74153563815418
"CVOE updated",1001,1,1,12,"I 66","","",TRUE,"CV","p",1960,"cv","I",6,"v","v",TRUE,1,0.137448999372276
"CVOE updated",1001,1,1,13,"S 30","","",FALSE,"CV","q",918,"cv","S",0,"c","c",TRUE,1,-0.448821880182529
"CVOE updated",1001,1,1,14,"D 20","","",FALSE,"CV","q",790,"cv","D",0,"c","c",TRUE,1,-0.52083980012784
"CVOE updated",1001,1,1,15,"I 31","","",FALSE,"CV","p",874,"cv","I",1,"v","v",TRUE,1,-0.47357804016373
"CVOE updated",1001,1,1,16,"P 16","","",FALSE,"CV","q",700,"cv","P",6,"c","c",TRUE,1,-0.571477400089388
"CVOE updated",1001,1,1,17,"A 49","","",FALSE,"CV","p",1100,"cv","A",9,"v","v",TRUE,1,-0.346421400260288
"CVOE updated",1001,1,1,18,"O 64","","",TRUE,"CV","p",1100,"cv","O",4,"v","v",TRUE,1,-0.346421400260288
"CVOE updated",1001,1,1,19,"D 02","","",FALSE,"CV","q",892,"cv","D",2,"c","c",TRUE,1,-0.46345052017142
"CVOE updated",1001,1,1,20,"P 81","","",TRUE,"CV","q",1116,"cv","P",1,"c","c",TRUE,1,-0.337419160267124
"CVOE updated",1001,1,1,21,"J 58","","",FALSE,"CV","q",828,"cv","J",8,"c","c",TRUE,1,-0.499459480144076
"CVOE updated",1001,1,1,22,"A 22","","",TRUE,"CV","p",679,"cv","A",2,"v","v",TRUE,1,-0.583292840080416
"CVOE updated",1001,1,1,23,"J 72","","",FALSE,"CV","q",999,"cv","J",2,"c","c",TRUE,1,-0.403248040217136
"CVOE updated",1001,1,1,24,"P 91","","",TRUE,"CV","q",1027,"cv","P",1,"c","c",TRUE,1,-0.387494120229099
"CVOE updated",1001,1,1,25,"E 19","","",FALSE,"CV","p",622,"cv","E",9,"v","v",TRUE,1,-0.615363320056062
"CVOE updated",1001,1,1,26,"I 30","","",TRUE,"CV","p",618,"cv","I",0,"v","v",TRUE,1,-0.617613880054353
"CVOE updated",1001,1,1,27,"D 91","","",TRUE,"CV","q",717,"cv","D",1,"c","c",TRUE,1,-0.561912520096651
"CVOE updated",1001,1,1,28,"O 48","","",TRUE,"CV","p",636,"cv","O",8,"v","v",TRUE,1,-0.607486360062044
"CVOE updated",1001,1,1,29,"A 89","","",FALSE,"CV","p",1127,"cv","A",9,"v","v",TRUE,1,-0.331230120271824
"CVOE updated",1001,1,1,30,"U 11","","",FALSE,"CV","p",886,"cv","U",1,"v","v",TRUE,1,-0.466826360168857
"CVOE updated",1001,1,1,31,"I 76","","",TRUE,"CV","p",726,"cv","I",6,"v","v",TRUE,1,-0.556848760100496
"CVOE updated",1001,1,1,32,"U 89","","",FALSE,"CV","p",669,"cv","U",9,"v","v",TRUE,1,-0.588919240076143
"CVOE updated",1001,1,1,33,"D 63","","",TRUE,"CV","q",758,"cv","D",3,"c","c",TRUE,1,-0.538844280114169
"CVOE updated",1001,1,1,34,"H 70","","",FALSE,"CV","q",1052,"cv","H",0,"c","c",TRUE,1,-0.37342812023978
"CVOE updated",1001,1,1,35,"D 48","","",FALSE,"CV","q",591,"cv","D",8,"c","c",TRUE,1,-0.632805160042818
"CVOE updated",1001,1,1,36,"P 56","","",FALSE,"CV","q",635,"cv","P",6,"c","c",TRUE,1,-0.608049000061617
"CVOE updated",1001,1,1,37,"O 77","","",FALSE,"CV","p",645,"cv","O",7,"v","v",TRUE,1,-0.602422600065889
"CVOE updated",1001,1,1,38,"P 42","","",FALSE,"CV","q",776,"cv","P",2,"c","c",TRUE,1,-0.528716760121859
"CVOE updated",1001,1,1,39,"H 22","","",FALSE,"CV","q",668,"cv","H",2,"c","c",TRUE,1,-0.589481880075716
"CVOE updated",1001,1,1,40,"E 42","","",TRUE,"CV","p",574,"cv","E",2,"v","v",TRUE,1,-0.642370040035554
"CVOE updated",1001,1,1,41,"J 28","","",FALSE,"CV","q",690,"cv","J",8,"c","c",TRUE,1,-0.577103800085115
"CVOE updated",1001,1,1,42,"E 95","","",FALSE,"CV","p",787,"cv","E",5,"v","v",TRUE,1,-0.522527720126559
"CVOE updated",1001,1,1,43,"S 63","","",TRUE,"CV","q",1031,"cv","S",3,"c","c",TRUE,1,-0.385243560230808
"CVOE updated",1001,1,1,44,"H 50","","",FALSE,"CV","q",602,"cv","H",0,"c","c",TRUE,1,-0.626616120047517
"CVOE updated",1001,1,1,45,"S 33","","",TRUE,"CV","q",646,"cv","S",3,"c","c",TRUE,1,-0.601859960066316
"CVOE updated",1001,1,1,46,"P 57","","",TRUE,"CV","q",632,"cv","P",7,"c","c",TRUE,1,-0.609736920060335
"CVOE updated",1001,1,1,47,"E 23","","",FALSE,"CV","p",699,"cv","E",3,"v","v",TRUE,1,-0.572040040088961
"CVOE updated",1001,1,1,48,"S 61","","",TRUE,"CV","q",763,"cv","S",1,"c","c",TRUE,1,-0.536031080116305
"CVOE updated",1001,1,1,49,"U 67","","",FALSE,"CV","p",560,"cv","U",7,"v","v",TRUE,1,-0.650247000029573
"CVOE updated",1001,1,1,50,"H 32","","",FALSE,"CV","q",685,"cv","H",2,"c","c",TRUE,1,-0.579917000082979
"CVOE updated",1001,1,1,51,"U 50","","",TRUE,"CV","p",502,"cv","U",0,"v","v",TRUE,1,-0.682880120004792
"CVOE updated",1001,1,1,52,"O 49","","",FALSE,"CV","p",630,"cv","O",9,"v","v",TRUE,1,-0.61086220005948
"CVOE updated",1001,1,1,53,"U 32","","",TRUE,"CV","p",609,"cv","U",2,"v","v",TRUE,1,-0.622677640050508
"CVOE updated",1001,1,1,54,"J 78","","",FALSE,"CV","q",716,"cv","J",8,"c","c",TRUE,1,-0.562475160096224
"CVOE updated",1001,1,1,55,"S 54","","",FALSE,"CV","q",635,"cv","S",4,"c","c",TRUE,1,-0.608049000061617
"CVOE updated",1001,1,1,56,"J 27","","",TRUE,"CV","q",566,"cv","J",7,"c","c",TRUE,1,-0.646871160032136
"CVOE updated",1001,1,1,57,"S 06","","",FALSE,"CV","q",635,"cv","S",6,"c","c",TRUE,1,-0.608049000061617
"CVOE updated",1001,1,1,58,"D 67","","",TRUE,"CV","q",766,"cv","D",7,"c","c",TRUE,1,-0.534343160117587
"CVOE updated",1001,1,1,59,"A 79","","",FALSE,"CV","p",771,"cv","A",9,"v","v",TRUE,1,-0.531529960119723
"CVOE updated",1001,1,1,60,"S 52","","",FALSE,"CV","q",768,"cv","S",2,"c","c",TRUE,1,-0.533217880118441
"CVOE updated",1001,1,1,61,"U 16","","",TRUE,"CV","p",702,"cv","U",6,"v","v",TRUE,1,-0.570352120090242
"CVOE updated",1001,1,1,62,"O 82","","",TRUE,"CV","p",590,"cv","O",2,"v","v",TRUE,1,-0.63336780004239
"CVOE updated",1001,1,1,63,"H 87","","",TRUE,"CV","q",722,"cv","H",7,"c","c",TRUE,1,-0.559099320098787
"CVOE updated",1001,1,1,64,"I 32","","",TRUE,"CV","p",1330,"cv","I",2,"v","v",TRUE,1,-0.217014200358556
"CVOE updated",1001,1,1,65,"U 37","","",FALSE,"CV","p",833,"cv","U",7,"v","v",TRUE,1,-0.496646280146212
"CVOE updated",1001,1,1,66,"I 42","","",TRUE,"CV","p",620,"cv","I",2,"v","v",TRUE,1,-0.616488600055208
"CVOE updated",1001,1,1,67,"D 65","","",TRUE,"CV","q",679,"cv","D",5,"c","c",TRUE,1,-0.583292840080416
"CVOE updated",1001,1,1,68,"U 77","","",FALSE,"CV","p",743,"cv","U",7,"v","v",TRUE,1,-0.54728388010776
"CVOE updated",1001,1,1,69,"E 12","","",TRUE,"CV","p",1326,"cv","E",2,"v","v",TRUE,1,-0.219264760356847
