ExperimentName,Subject,Block,Prompt,ListNum,Procedure[Trial],JOL,Cue-Target,Response,Correct?,Direction,,,JOL_Bin,SDEV,n,lower,Average,upper
D_JOL A,73,1,Dietary - Sacking,62,StudyProc3,0,Dietary - ?,,0,U,,,0,0.332562898,167,0.075308903,0.125748503,0.176188103
D_JOL A,73,1,Park - Hungry,63,StudyProc3,0,Park - ?,car,0,U,,,10,0.317133964,151,0.061999109,0.112582781,0.163166454
D_JOL A,73,1,Art - Lion,74,StudyProc3,0,Art - ?,,0,U,,,20,0.3665289,45,0.116855429,0.155555556,0.194255682
D_JOL A,73,1,Hide - Sick,79,StudyProc3,0,Hide - ?,seek,0,U,,,30,0.132453236,57,-0.016842105,0.01754386,0.051929825
D_JOL A,73,1,King - Vase,80,StudyProc3,0,King - ?,,0,U,,,40,0.320256308,27,0.140068189,0.260869565,0.381670941
D_JOL B,74,1,Fuzzy - Bang,72,StudyProc5,0,Fuzzy - ?,bear,0,U,,,50,0.361216165,79,0.072244347,0.151898734,0.231553122
D_JOL B,74,2,Allow - Tuck,73,StudyProc3,0,Allow - ?,accept,0,U,,,60,0.23570226,18,-0.053333333,0.055555556,0.164444444
D_JOL A,77,1,Pusher - Clutter,61,StudyProc3,0,Pusher - ?,blank,0,U,,,70,0.389249472,12,-0.053571955,0.166666667,0.386905288
D_JOL A,77,1,Dietary - Sacking,62,StudyProc3,0,Dietary - ?,artery,0,U,,,80,0.389249472,12,-0.053571955,0.166666667,0.386905288
D_JOL A,77,1,Death - Business,67,StudyProc3,0,Death - ?,living,0,U,,,90,0.267500188,130,0.030938893,0.076923077,0.122907261
D_JOL A,77,1,Sugar - Riddle,76,StudyProc3,0,Sugar - ?,cane,0,U,,,100,0.478713554,33,0.17,0.333333333,0.496666667
D_JOL A,77,1,Hide - Sick,79,StudyProc3,0,Hide - ?,sick,1,U,,,,,,,,
D_JOL B,78,2,Lift - Woman,64,StudyProc3,0,Lift - ?,woman,1,U,,,,,,,,
D_JOL C,79,2,Cloth - Stretch,61,StudyProc5,0,Cloth - ?,,0,U,,,,,,,,
D_JOL C,79,2,Election - Maze,62,StudyProc5,0,Election - ?,,0,U,,,,,,,,
D_JOL C,79,2,Charm - Vehicle,63,StudyProc5,0,Charm - ?,,0,U,,,,,,,,
D_JOL C,79,2,Obtain - Meat,64,StudyProc5,0,Obtain - ?,,0,U,,,,,,,,
D_JOL C,79,2,Shake - Shell,66,StudyProc5,0,Shake - ?,,0,U,,,,,,,,
D_JOL C,79,2,Fiction - Listen,67,StudyProc5,0,Fiction - ?,LISTEN,1,U,,,,,,,,
D_JOL C,79,2,Joke - Keys,68,StudyProc5,0,Joke - ?,,0,U,,,,,,,,
D_JOL C,79,2,Hate - Name,69,StudyProc5,0,Hate - ?,,0,U,,,,,,,,
D_JOL C,79,2,Bang - Fuzzy,70,StudyProc5,0,Bang - ?,,0,U,,,,,,,,
D_JOL C,79,2,Clear - Moat,71,StudyProc5,0,Clear - ?,,0,U,,,,,,,,
D_JOL C,79,2,Toil - Lease,75,StudyProc5,0,Toil - ?,,0,U,,,,,,,,
D_JOL C,79,2,Sign - Loan,76,StudyProc5,0,Sign - ?,,0,U,,,,,,,,
D_JOL C,79,2,Ounce - Both,77,StudyProc5,0,Ounce - ?,BOTH,1,U,,,,,,,,
D_JOL C,79,1,Clutter - Pusher,61,StudyProc3,0,Clutter - ?,,0,U,,,,,,,,
D_JOL C,79,1,Sacking - Dietary,62,StudyProc3,0,Sacking - ?,,0,U,,,,,,,,
D_JOL C,79,1,Hungry - Park,63,StudyProc3,0,Hungry - ?,PAR,1,U,,,,,,,,
D_JOL C,79,1,Woman - Lift,64,StudyProc3,0,Woman - ?,LIFT,1,U,,,,,,,,
D_JOL C,79,1,Belt - Soon,65,StudyProc3,0,Belt - ?,LOCK,0,U,,,,,,,,
D_JOL C,79,1,Floor - Discover,66,StudyProc3,0,Floor - ?,DISCOVER,1,U,,,,,,,,
D_JOL C,79,1,Business - Death,67,StudyProc3,0,Business - ?,,0,U,,,,,,,,
D_JOL C,79,1,Sight - Debate,68,StudyProc3,0,Sight - ?,,0,U,,,,,,,,
D_JOL C,79,1,Bronze - Artery,69,StudyProc3,0,Bronze - ?,,0,U,,,,,,,,
D_JOL C,79,1,Hand - Fix,70,StudyProc3,0,Hand - ?,FIX,1,U,,,,,,,,
D_JOL C,79,1,Position - Machine,71,StudyProc3,0,Position - ?,MACHINE,1,U,,,,,,,,
D_JOL C,79,1,Car - Happy,72,StudyProc3,0,Car - ?,HAPPY,1,U,,,,,,,,
D_JOL C,79,1,Tuck - Allow,73,StudyProc3,0,Tuck - ?,,0,U,,,,,,,,
D_JOL C,79,1,Lion - Art,74,StudyProc3,0,Lion - ?,ART,1,U,,,,,,,,
D_JOL C,79,1,Accident - Strong,75,StudyProc3,0,Accident - ?,,0,U,,,,,,,,
D_JOL C,79,1,Riddle - Sugar,76,StudyProc3,0,Riddle - ?,,0,U,,,,,,,,
D_JOL C,79,1,Add - Valley,77,StudyProc3,0,Add - ?,,0,U,,,,,,,,
D_JOL C,79,1,Would - Cash,78,StudyProc3,0,Would - ?,,0,U,,,,,,,,
D_JOL C,79,1,Sick - Hide,79,StudyProc3,0,Sick - ?,HIDE,1,U,,,,,,,,
D_JOL C,79,1,Vase - King,80,StudyProc3,0,Vase - ?,,0,U,,,,,,,,
D_JOL A,81,2,Justice - Maroon,61,StudyProc5,0,Justice - ?,,0,U,,,,,,,,
D_JOL A,81,2,Crackle - Able,66,StudyProc5,0,Crackle - ?,,0,U,,,,,,,,
D_JOL C,83,2,Able - Crackle,65,StudyProc5,0,Able - ?,Unable,0,U,,,,,,,,
D_JOL C,83,2,Toil - Lease,75,StudyProc5,0,Toil - ?,Boil,0,U,,,,,,,,
D_JOL C,83,2,Ounce - Both,77,StudyProc5,0,Ounce - ?,Belt,0,U,,,,,,,,
D_JOL C,83,1,Sacking - Dietary,62,StudyProc3,0,Sacking - ?,Sol,0,U,,,,,,,,
D_JOL C,83,1,Bronze - Artery,69,StudyProc3,0,Bronze - ?,Belt,0,U,,,,,,,,
D_JOL C,83,1,Add - Valley,77,StudyProc3,0,Add - ?,Subtract,0,U,,,,,,,,
D_JOL C,83,1,Would - Cash,78,StudyProc3,0,Would - ?,Cant,0,U,,,,,,,,
D_JOL A,85,2,Crackle - Able,66,StudyProc5,0,Crackle - ?,barrel,0,U,,,,,,,,
D_JOL A,85,2,Keys - Joke,69,StudyProc5,0,Keys - ?,latch,0,U,,,,,,,,
D_JOL A,85,2,Cake - Clothes,70,StudyProc5,0,Cake - ?,,0,U,,,,,,,,
D_JOL A,85,2,Name - Hate,71,StudyProc5,0,Name - ?,,0,U,,,,,,,,
D_JOL A,85,2,Fuzzy - Bang,72,StudyProc5,0,Fuzzy - ?,dog,0,U,,,,,,,,
D_JOL A,85,2,Moat - Clear,73,StudyProc5,0,Moat - ?,mine,0,U,,,,,,,,
D_JOL A,85,2,Lease - Toil,74,StudyProc5,0,Lease - ?,,0,U,,,,,,,,
D_JOL A,85,2,Both - Ounce,76,StudyProc5,0,Both - ?,,0,U,,,,,,,,
D_JOL A,85,2,Temperature - Morning,77,StudyProc5,0,Temperature - ?,,0,U,,,,,,,,
D_JOL A,85,2,Mirror - Children,78,StudyProc5,0,Mirror - ?,children,1,U,,,,,,,,
D_JOL A,85,2,Main - Scar,79,StudyProc5,0,Main - ?,chick,0,U,,,,,,,,
D_JOL A,85,1,Pusher - Clutter,61,StudyProc3,0,Pusher - ?,,0,U,,,,,,,,
D_JOL A,85,1,Dietary - Sacking,62,StudyProc3,0,Dietary - ?,,0,U,,,,,,,,
D_JOL A,85,1,Park - Hungry,63,StudyProc3,0,Park - ?,our,0,U,,,,,,,,
D_JOL A,85,1,Machine - Position,71,StudyProc3,0,Machine - ?,,0,U,,,,,,,,
D_JOL A,85,1,Allow - Tuck,73,StudyProc3,0,Allow - ?,,0,U,,,,,,,,
D_JOL A,85,1,Art - Lion,74,StudyProc3,0,Art - ?,gallery,0,U,,,,,,,,
D_JOL A,85,1,Sugar - Riddle,76,StudyProc3,0,Sugar - ?,spice,0,U,,,,,,,,
D_JOL A,85,1,Hide - Sick,79,StudyProc3,0,Hide - ?,seek,0,U,,,,,,,,
D_JOL A,89,2,Justice - Maroon,61,StudyProc5,0,Justice - ?,law,0,U,,,,,,,,
D_JOL A,89,2,Meat - Obtain,65,StudyProc5,0,Meat - ?,raw,0,U,,,,,,,,
D_JOL A,89,2,Shell - Snake,67,StudyProc5,0,Shell - ?,nut,0,U,,,,,,,,
D_JOL A,89,2,Cake - Clothes,70,StudyProc5,0,Cake - ?,moist,0,U,,,,,,,,
D_JOL A,89,2,Fuzzy - Bang,72,StudyProc5,0,Fuzzy - ?,hair,0,U,,,,,,,,
D_JOL A,89,2,Moat - Clear,73,StudyProc5,0,Moat - ?,,0,U,,,,,,,,
D_JOL A,89,2,Lease - Toil,74,StudyProc5,0,Lease - ?,rent,0,U,,,,,,,,
D_JOL A,89,2,Both - Ounce,76,StudyProc5,0,Both - ?,ways,0,U,,,,,,,,
D_JOL A,89,2,Temperature - Morning,77,StudyProc5,0,Temperature - ?,cold,0,U,,,,,,,,
D_JOL B,90,1,Justice - Maroon,61,StudyProc5,0,Justice - ?,,0,U,,,,,,,,
D_JOL B,90,1,Lease - Toil,74,StudyProc5,0,Lease - ?,,0,U,,,,,,,,
D_JOL B,90,2,Pusher - Clutter,61,StudyProc3,0,Pusher - ?,,0,U,,,,,,,,
D_JOL B,90,2,Dietary - Sacking,62,StudyProc3,0,Dietary - ?,,0,U,,,,,,,,
D_JOL B,90,2,Soon - Belt,65,StudyProc3,0,Soon - ?,,0,U,,,,,,,,
D_JOL B,90,2,Death - Business,67,StudyProc3,0,Death - ?,,0,U,,,,,,,,
D_JOL B,90,2,Debate - Sight,68,StudyProc3,0,Debate - ?,,0,U,,,,,,,,
D_JOL B,90,2,Artery - Bronze,69,StudyProc3,0,Artery - ?,,0,U,,,,,,,,
D_JOL B,90,2,Allow - Tuck,73,StudyProc3,0,Allow - ?,,0,U,,,,,,,,
D_JOL D,92,1,Election - Maze,62,StudyProc5,0,Election - ?,scam,0,U,,,,,,,,
D_JOL D,92,1,Able - Crackle,65,StudyProc5,0,Able - ?,round,0,U,,,,,,,,
D_JOL A,93,2,Fuzzy - Bang,72,StudyProc5,0,Fuzzy - ?,dog,0,U,,,,,,,,
D_JOL A,93,2,Moat - Clear,73,StudyProc5,0,Moat - ?,loof,0,U,,,,,,,,
D_JOL A,93,2,Main - Scar,79,StudyProc5,0,Main - ?,choice,0,U,,,,,,,,
D_JOL A,93,1,Pusher - Clutter,61,StudyProc3,0,Pusher - ?,pull,0,U,,,,,,,,
D_JOL A,93,1,Dietary - Sacking,62,StudyProc3,0,Dietary - ?,food,0,U,,,,,,,,
D_JOL A,93,1,Artery - Bronze,69,StudyProc3,0,Artery - ?,bus,0,U,,,,,,,,
D_JOL A,93,1,King - Vase,80,StudyProc3,0,King - ?,queen,0,U,,,,,,,,
D_JOL B,94,1,Justice - Maroon,61,StudyProc5,0,Justice - ?,marroon,1,U,,,,,,,,
